Buyer,Seller,Frequency,Seller Country,Top 500
WM Motor,FAW-Tokico Shock Absorber Co. Ltd.,1,China,FALSE
BAIC (Guangzhou),FAW-Tokico Shock Absorber Co. Ltd.,2,China,FALSE
BAIC Zhenjiang,FAW-Tokico Shock Absorber Co. Ltd.,2,China,FALSE
Great Wall,FAW-Tokico Shock Absorber Co. Ltd.,4,China,FALSE
Haima,FAW-Tokico Shock Absorber Co. Ltd.,2,China,FALSE
JAC,FAW-Tokico Shock Absorber Co. Ltd.,4,China,FALSE
Dongfeng Nissan,FAWER Automotive Parts Limited Company,1,China,TRUE
GAC Toyota,FAWER Automotive Parts Limited Company,1,China,TRUE
Geely,FAWER Automotive Parts Limited Company,1,China,TRUE
FAW-Volkswagen,FAWER Automotive Parts Limited Company,1,China,TRUE
BYD,FinDreams Technology Co. Ltd.,9,China,FALSE
Tesla,Firestone Industrial Products Company LLC,4,USA,FALSE
Ford,Fox Factory Inc. - Gainesville Facility,2,USA,FALSE
Citroen,Gabriel India Ltd.,11,India,FALSE
Mahindra & Mahindra,Gabriel India Ltd.,30,India,FALSE
Maruti Suzuki,Gabriel India Ltd.,41,India,FALSE
Skoda,Gabriel India Ltd.,8,India,FALSE
Toyota,Gabriel India Ltd.,9,India,FALSE
Volkswagen,Gabriel India Ltd.,14,India,FALSE
Honda,Gabriel India Ltd.,2,India,FALSE
Tata,Gabriel India Ltd.,6,India,FALSE
Maserati,Gestamp Automocion S.A.,1,Spain,TRUE
Daimler,Gestamp Automocion S.A.,1,Spain,TRUE
Volkswagen,Gestamp Automocion S.A.,1,Spain,TRUE
BMW,GF Linamar LLC,2,USA,FALSE
Audi,H&R Spezialfedern GmbH & Co. KG,3,Germany,FALSE
BMW,H&R Spezialfedern GmbH & Co. KG,3,Germany,FALSE
Toyota,H&R Spezialfedern GmbH & Co. KG,1,Germany,FALSE
Volkswagen,H&R Spezialfedern GmbH & Co. KG,2,Germany,FALSE
Dodge,Hitachi Astemo Americas Inc. (Formerly  Hitachi Automotive Systems Americas Inc.),3,USA,FALSE
Ram Trucks,Hitachi Astemo Americas Inc. (Formerly  Hitachi Automotive Systems Americas Inc.),4,USA,FALSE
Toyota,Hitachi Astemo Americas Inc. (Formerly  Hitachi Automotive Systems Americas Inc.),3,USA,FALSE
GAC Honda,Hitachi Astemo Chassis Systems (Guangzhou) Ltd. (Formerly Guangzhou Showa Autoparts Co. Ltd.),8,China,FALSE
Dongfeng Honda,Hitachi Astemo Chassis Systems (Guangzhou) Ltd. (Formerly Guangzhou Showa Autoparts Co. Ltd.),4,China,FALSE
Dongfeng Honda,Hitachi Astemo Chassis Systems (Guangzhou) Ltd. Wuhan Branch (Formerly Guangzhou Showa Autoparts Co. Ltd. Wuhan Branch),6,China,FALSE
GAC Mitsubishi,Hitachi Astemo Chassis Systems (Guangzhou) Ltd. Wuhan Branch (Formerly Guangzhou Showa Autoparts Co. Ltd. Wuhan Branch),3,China,FALSE
Dongfeng Renault,Hitachi Astemo Chassis Systems (Guangzhou) Ltd. Wuhan Branch (Formerly Guangzhou Showa Autoparts Co. Ltd. Wuhan Branch),1,China,FALSE
Changan Ford,Hitachi Astemo ChassisSystems (Suzhou) Ltd. (Formerly Tokico Automotive (Suzhou) Co. Ltd.),2,China,FALSE
Ford,Hitachi Astemo ChassisSystems (Suzhou) Ltd. (Formerly Tokico Automotive (Suzhou) Co. Ltd.),4,China,FALSE
Mazda,Hitachi Astemo Chonburi Auto Parts Ltd. (Formerly Showa Auto Parts (Thailand) Co. Ltd.),4,Thailand,FALSE
Nissan,Hitachi Astemo Chonburi Auto Parts Ltd. (Formerly Showa Auto Parts (Thailand) Co. Ltd.),1,Thailand,FALSE
Subaru,Hitachi Astemo Chonburi Auto Parts Ltd. (Formerly Showa Auto Parts (Thailand) Co. Ltd.),2,Thailand,FALSE
Suzuki,Hitachi Astemo Chonburi Auto Parts Ltd. (Formerly Showa Auto Parts (Thailand) Co. Ltd.),2,Thailand,FALSE
Toyota,Hitachi Astemo Chonburi Auto Parts Ltd. (Formerly Showa Auto Parts (Thailand) Co. Ltd.),4,Thailand,FALSE
Honda,Hitachi Astemo Korat Brake Systems Ltd. (Formerly Nissin Brake (Thailand) Co. Ltd.),6,Thailand,FALSE
Isuzu,Hitachi Astemo Korat Brake Systems Ltd. (Formerly Nissin Brake (Thailand) Co. Ltd.),1,Thailand,FALSE
Mitsubishi,Hitachi Astemo Korat Ltd. (Formerly Tokico Thailand Ltd.),2,Thailand,FALSE
Toyota,Hitachi Astemo Korat Ltd. (Formerly Tokico Thailand Ltd.),2,Thailand,FALSE
Mazda,Hitachi Astemo Mexico S.A. de C.V. - Queretaro Plant (Formerly Hitachi Automotive Systems Mexico S.A. de C.V.),8,Mexico,FALSE
Ram Trucks,Hitachi Astemo Mexico S.A. de C.V. - Queretaro Plant (Formerly Hitachi Automotive Systems Mexico S.A. de C.V.),7,Mexico,FALSE
Nissan,Hitachi Astemo Mexico S.A. de C.V. - Queretaro Plant (Formerly Hitachi Automotive Systems Mexico S.A. de C.V.),2,Mexico,FALSE
Jeep,Hitachi Astemo Mexico S.A. de C.V. - Queretaro Plant (Formerly Hitachi Automotive Systems Mexico S.A. de C.V.),2,Mexico,FALSE
Toyota,Hitachi Astemo Mexico S.A. de C.V. - Queretaro Plant (Formerly Hitachi Automotive Systems Mexico S.A. de C.V.),1,Mexico,FALSE
Subaru,Hitachi Astemo Ltd. (Formerly Hitachi Automotive Systems Ltd.),66,Japan,TRUE
Honda,Hitachi Astemo Ltd. (Formerly Hitachi Automotive Systems Ltd.),96,Japan,TRUE
Mazda,Hitachi Astemo Ltd. (Formerly Hitachi Automotive Systems Ltd.),72,Japan,TRUE
Nissan,Hitachi Astemo Ltd. (Formerly Hitachi Automotive Systems Ltd.),54,Japan,TRUE
Suzuki,Hitachi Astemo Ltd. (Formerly Hitachi Automotive Systems Ltd.),30,Japan,TRUE
Toyota,Hitachi Astemo Ltd. (Formerly Hitachi Automotive Systems Ltd.),147,Japan,TRUE
Daihatsu,Hitachi Astemo Ltd. (Formerly Hitachi Automotive Systems Ltd.),37,Japan,TRUE
Hino,Hitachi Astemo Ltd. (Formerly Hitachi Automotive Systems Ltd.),6,Japan,TRUE
Isuzu,Hitachi Astemo Ltd. (Formerly Hitachi Automotive Systems Ltd.),6,Japan,TRUE
Mitsubishi,Hitachi Astemo Ltd. (Formerly Hitachi Automotive Systems Ltd.),12,Japan,TRUE
Ram Trucks,Hitachi Astemo Ltd. (Formerly Hitachi Automotive Systems Ltd.),2,Japan,TRUE
Dongfeng Honda,Hitachi Astemo Ltd. (Formerly Hitachi Automotive Systems Ltd.),5,Japan,TRUE
GAC Honda,Hitachi Astemo Ltd. (Formerly Hitachi Automotive Systems Ltd.),6,Japan,TRUE
Ford,Hitachi Astemo Ltd. (Formerly Hitachi Automotive Systems Ltd.),2,Japan,TRUE
Tesla China,HL Mando (Beijing) Automotive System Co. Ltd. (Formerly Mando (Beijing) Automotive Chassis System Co.Ltd.),1,China,FALSE
Ford,HL Mando (Beijing) Automotive System Co. Ltd. (Formerly Mando (Beijing) Automotive Chassis System Co.Ltd.),1,China,FALSE
Dongfeng Passenger Vehicle,HL Mando (Beijing) Automotive System Co. Ltd. (Formerly Mando (Beijing) Automotive Chassis System Co.Ltd.),1,China,FALSE
GAC Motor,HL Mando (Beijing) Automotive System Co. Ltd. (Formerly Mando (Beijing) Automotive Chassis System Co.Ltd.),2,China,FALSE
Lifan,HL Mando (Beijing) Automotive System Co. Ltd. (Formerly Mando (Beijing) Automotive Chassis System Co.Ltd.),1,China,FALSE
SAIC GM,HL Mando (Beijing) Automotive System Co. Ltd. (Formerly Mando (Beijing) Automotive Chassis System Co.Ltd.),4,China,FALSE
SAIC GM Wuling,HL Mando (Beijing) Automotive System Co. Ltd. (Formerly Mando (Beijing) Automotive Chassis System Co.Ltd.),3,China,FALSE
SAIC Passenger Vehicle,HL Mando (Beijing) Automotive System Co. Ltd. (Formerly Mando (Beijing) Automotive Chassis System Co.Ltd.),2,China,FALSE
Changan,HL Mando (Beijing) Automotive System Co. Ltd. (Formerly Mando (Beijing) Automotive Chassis System Co.Ltd.),1,China,FALSE
Geely,HL Mando (Ningbo) Automotive System Co. Ltd. (Formerly Mando (Ningbo) Automotive Parts Co. Ltd.),10,China,FALSE
Tesla,HL Mando America Corporation - Alabama (Formerly Mando America Corporation - Alabama),1,USA,FALSE
Hyundai,HL Mando Automotive India Private Limited (Formerly Mando Automotive India Private Limited),1,India,FALSE
Hyundai,HL Mando Corporation (Formerly Mando Corporation),62,South Korea,TRUE
Kia,HL Mando Corporation (Formerly Mando Corporation),18,South Korea,TRUE
Renault,HL Mando Corporation (Formerly Mando Corporation),1,South Korea,TRUE
Tesla,HL Mando Corporation (Formerly Mando Corporation),1,South Korea,TRUE
GM,HL Mando Corporation (Formerly Mando Corporation),2,South Korea,TRUE
Nissan,HL Mando Corporation (Formerly Mando Corporation),1,South Korea,TRUE
Tesla,HL Mando Corporation Mexico SA de CV (Formerly Mando Corporation Mexico SA de CV),1,Mexico,FALSE
BYD,Hunan KDL Precision Industry Co. Ltd.,1,China,FALSE
Hyundai,Hyundai Mobis Co. Ltd.,3,South Korea,TRUE
Kia,Hyundai WIA Corporation (Formerly WIA Corporation),2,South Korea,TRUE
Changan Ford,Jiangsu Luoshi Vibration Control Co. Ltd.,2,China,FALSE
FAW-Volkswagen,Jiangsu Luoshi Vibration Control Co. Ltd.,4,China,FALSE
SAIC Volkswagen,Jiangsu Luoshi Vibration Control Co. Ltd.,8,China,FALSE
GAC Motor,Jiangyin Haida Rubber & Plastic Co. Ltd.,16,China,FALSE
GAC Aion,Jiangyin Haida Rubber & Plastic Co. Ltd.,1,China,FALSE
Jemmell New Energy,Jinzhou Leader Shock Absorber Co. Ltd.,3,China,FALSE
Great Wall,Jinzhou Leader Shock Absorber Co. Ltd.,26,China,FALSE
FAW-Volkswagen,Keboda Technology Corporation (Formerly Shanghai Oubao Electronic Technology Co. Ltd.),2,China,FALSE
SAIC Volkswagen,Keboda Technology Corporation (Formerly Shanghai Oubao Electronic Technology Co. Ltd.),2,China,FALSE
Porsche,KIRCHHOFF Automotive AG,1,Germany,FALSE
Mercedes-Benz,KIRCHHOFF Automotive Manchester,1,USA,FALSE
Toyota,Knauf SAS,1,France,FALSE
Opel,Koni BV,1,Netherlands,FALSE
Abarth,Koni BV,10,Netherlands,FALSE
Audi,KSM Castings Group GmbH,1,Germany,FALSE
Ford,Kurashiki Siam Rubber Co. Ltd.,6,Thailand,FALSE
Mazda,Kurashiki Siam Rubber Co. Ltd.,3,Thailand,FALSE
Honda,KYB (Thailand) Co. Ltd.,2,Thailand,FALSE
Toyota,KYB (Thailand) Co. Ltd.,10,Thailand,FALSE
Nissan,KYB Americas Corporation - Indiana,10,USA,FALSE
Subaru,KYB Americas Corporation - Indiana,2,USA,FALSE
Toyota,KYB Americas Corporation - Indiana,14,USA,FALSE
Toyota,KYB Corporation,273,Japan,TRUE
Daihatsu,KYB Corporation,48,Japan,TRUE
Honda,KYB Corporation,33,Japan,TRUE
Mazda,KYB Corporation,29,Japan,TRUE
Mitsubishi,KYB Corporation,48,Japan,TRUE
Nissan,KYB Corporation,69,Japan,TRUE
Skoda,KYB Corporation,2,Japan,TRUE
Subaru,KYB Corporation,30,Japan,TRUE
Suzuki,KYB Corporation,63,Japan,TRUE
Volkswagen,KYB Corporation,2,Japan,TRUE
Isuzu,KYB Corporation,2,Japan,TRUE
Magyar Suzuki,KYB Corporation,2,Japan,TRUE
Peugeot,KYB Corporation,4,Japan,TRUE
Renault,KYB Corporation,4,Japan,TRUE
Citroen,KYB Europe GmbH,1,Germany,FALSE
BMW Brilliance,KYB Industrial Machinery (Zhenjiang) Ltd.,1,China,FALSE
Dongfeng Nissan,KYB Industrial Machinery (Zhenjiang) Ltd.,13,China,FALSE
GAC Mitsubishi,KYB Industrial Machinery (Zhenjiang) Ltd.,4,China,FALSE
GAC Toyota,KYB Industrial Machinery (Zhenjiang) Ltd.,6,China,FALSE
FAW Toyota,KYB Industrial Machinery (Zhenjiang) Ltd.,9,China,FALSE
Zhengzhou Nissan,KYB Industrial Machinery (Zhenjiang) Ltd.,1,China,FALSE
South East,KYB Industrial Machinery (Zhenjiang) Ltd.,2,China,FALSE
Mazda,KYB Latinoamerica S.A. de C.V. (KYB Mexico S.A. de C.V. Mexico City Branch),1,Mexico,FALSE
Nissan,KYB Latinoamerica S.A. de C.V. (KYB Mexico S.A. de C.V. Mexico City Branch),1,Mexico,FALSE
Audi,KYB Manufacturing do Brasil Fabricante de Autopecas S.A. (Formerly KYB-Mando do Brasil Fabricante de Autopecas S.A.),1,Brazil,FALSE
Ford,KYB Manufacturing do Brasil Fabricante de Autopecas S.A. (Formerly KYB-Mando do Brasil Fabricante de Autopecas S.A.),1,Brazil,FALSE
GM,KYB Manufacturing do Brasil Fabricante de Autopecas S.A. (Formerly KYB-Mando do Brasil Fabricante de Autopecas S.A.),2,Brazil,FALSE
Hyundai,KYB Manufacturing do Brasil Fabricante de Autopecas S.A. (Formerly KYB-Mando do Brasil Fabricante de Autopecas S.A.),1,Brazil,FALSE
Peugeot,KYB Manufacturing do Brasil Fabricante de Autopecas S.A. (Formerly KYB-Mando do Brasil Fabricante de Autopecas S.A.),1,Brazil,FALSE
Toyota,KYB Manufacturing do Brasil Fabricante de Autopecas S.A. (Formerly KYB-Mando do Brasil Fabricante de Autopecas S.A.),1,Brazil,FALSE
Volkswagen,KYB Manufacturing do Brasil Fabricante de Autopecas S.A. (Formerly KYB-Mando do Brasil Fabricante de Autopecas S.A.),2,Brazil,FALSE
BMW,Linde + Wiemann SE & Co. KG,1,Germany,FALSE
Dodge,Marelli Europe S.p.A. (Formerly Magneti Marelli S.p.A.),4,Italy,TRUE
DS Automobiles,Marelli Europe S.p.A. (Formerly Magneti Marelli S.p.A.),3,Italy,TRUE
Fiat,Marelli Europe S.p.A. (Formerly Magneti Marelli S.p.A.),10,Italy,TRUE
Opel,Marelli Europe S.p.A. (Formerly Magneti Marelli S.p.A.),4,Italy,TRUE
Renault,Marelli Europe S.p.A. (Formerly Magneti Marelli S.p.A.),1,Italy,TRUE
Alfa Romeo,Marelli Europe S.p.A. (Formerly Magneti Marelli S.p.A.),2,Italy,TRUE
Peugeot,Marelli Europe S.p.A. (Formerly Magneti Marelli S.p.A.),3,Italy,TRUE
Ram Trucks,Marelli Europe S.p.A. (Formerly Magneti Marelli S.p.A.),1,Italy,TRUE
Ferrari,Marelli Europe S.p.A. (Formerly Magneti Marelli S.p.A.),1,Italy,TRUE
GM,Marelli Europe S.p.A. (Formerly Magneti Marelli S.p.A.),1,Italy,TRUE
Maserati,Marelli Europe S.p.A. (Formerly Magneti Marelli S.p.A.),1,Italy,TRUE
Jeep,Marelli Mexicana S.A. de C.V. - San Francisco Plant (Formerly Calsonic Kansei Mexicana S.A. de C.V. - San Francisco Plant),3,Mexico,FALSE
Ram Trucks,Marelli Mexicana S.A. de C.V. - San Francisco Plant (Formerly Calsonic Kansei Mexicana S.A. de C.V. - San Francisco Plant),5,Mexico,FALSE
Peugeot,Marelli Morocco LLC SARL,3,Morocco,FALSE
Tata,Marelli Motherson Auto Suspension Parts Pvt. Ltd.,2,India,FALSE
Porsche,MCG,1,Portugal,FALSE
Kia,Mobis Manufacturing De Mexico S. De R.L. De C.V.,2,Mexico,FALSE
Hyundai,MOBIS Slovakia s.r.o.,3,Slovakia,FALSE
Kia,MOBIS Slovakia s.r.o.,4,Slovakia,FALSE
Ford,Monroe Mexico S. de R.L. de C.V. - Celaya,10,Mexico,FALSE
GM,Multimatic Inc.,11,Canada,FALSE
Ford,Multimatic Inc.,3,Canada,FALSE
Daimler,Multimatic Inc.,3,Canada,FALSE
Mazda,Multimatic Inc.,3,Canada,FALSE
Aston Martin,Multimatic Inc.,2,Canada,FALSE
Honda,Munjal Showa Ltd.,1,India,FALSE
Maruti Suzuki,Munjal Showa Ltd.,2,India,FALSE
Geely,Nanyang Cijan Auto Shock Absorber Co. Ltd.,8,China,FALSE
SAIC Passenger Vehicle,Nanyang Cijan Auto Shock Absorber Co. Ltd.,12,China,FALSE
GAC Motor,Nanyang Cijan Auto Shock Absorber Co. Ltd.,2,China,FALSE
BAIC Yinxiang,Nanyang Cijan Auto Shock Absorber Co. Ltd.,1,China,FALSE
Chery,Nanyang Cijan Auto Shock Absorber Co. Ltd.,13,China,FALSE
Dongfeng Peugeot Citroen,Nanyang Cijan Auto Shock Absorber Co. Ltd.,3,China,FALSE
SAIC GM Wuling,Nanyang Cijan Auto Shock Absorber Co. Ltd.,7,China,FALSE
FAW Haima,Nanyang Cijan Auto Shock Absorber Co. Ltd.,5,China,FALSE
Maserati,Nemak S.A.B. de C.V.,2,Mexico,TRUE
BYD,Ningbo Tuopu Group Co. Ltd.(Formerly Ningbo Tuopu Brake System Co. Ltd.),1,China,TRUE
Tesla China,Ningbo Tuopu Group Co. Ltd.(Formerly Ningbo Tuopu Brake System Co. Ltd.),3,China,TRUE
Changan Ford,Ningbo Tuopu Group Co. Ltd.(Formerly Ningbo Tuopu Brake System Co. Ltd.),1,China,TRUE
Geely,Ningbo Tuopu Group Co. Ltd.(Formerly Ningbo Tuopu Brake System Co. Ltd.),2,China,TRUE
Lotus,Nitron Racing Systems Ltd.,2,UK,FALSE
Polestar,Oehlins Racing AB,2,Sweden,FALSE
Volvo Cars,Oehlins Racing AB,9,Sweden,FALSE
Arrinera,Oehlins Racing AB,1,Sweden,FALSE
Renault,Oehlins Racing AB,3,Sweden,FALSE
Lotus,Oehlins Racing AB,1,Sweden,FALSE
Nissan,Oehlins Racing AB,1,Sweden,FALSE
Audi,Oiles Corporation,2,Japan,TRUE
Nissan,Oiles Corporation,2,Japan,TRUE
Toyota,Oiles Corporation,1,Japan,TRUE
Audi,Ovalo GmbH,1,Germany,FALSE
Daihatsu,P.T. Kayaba Indonesia,2,Indonesia,FALSE
Mazda,P.T. Kayaba Indonesia,2,Indonesia,FALSE
Toyota,P.T. Kayaba Indonesia,2,Indonesia,FALSE
BMW,PMG Holding GmbH,2,Germany,FALSE
Daimler,PMG Holding GmbH,1,Germany,FALSE
Jaguar Land Rover,PMG Holding GmbH,1,Germany,FALSE
Audi,PMG Holding GmbH,1,Germany,FALSE
Renault,PMG Holding GmbH,1,Germany,FALSE
Volkswagen,PMG Holding GmbH,1,Germany,FALSE
BAIC (Guangzhou),Precision Sintered Products (Wuxi) Co. Ltd.,4,China,FALSE
BAIC Motor,Precision Sintered Products (Wuxi) Co. Ltd.,2,China,FALSE
BAIC Yinxiang,Precision Sintered Products (Wuxi) Co. Ltd.,4,China,FALSE
BAIC Zhenjiang,Precision Sintered Products (Wuxi) Co. Ltd.,4,China,FALSE
Changan,Precision Sintered Products (Wuxi) Co. Ltd.,44,China,FALSE
Changan Ford,Precision Sintered Products (Wuxi) Co. Ltd.,4,China,FALSE
Changan Mazda,Precision Sintered Products (Wuxi) Co. Ltd.,14,China,FALSE
Changan Suzuki,Precision Sintered Products (Wuxi) Co. Ltd.,28,China,FALSE
Changhe Suzuki,Precision Sintered Products (Wuxi) Co. Ltd.,4,China,FALSE
Dongfeng Honda,Precision Sintered Products (Wuxi) Co. Ltd.,16,China,FALSE
Dongfeng Liuzhou Motor,Precision Sintered Products (Wuxi) Co. Ltd.,12,China,FALSE
Dongfeng Nissan,Precision Sintered Products (Wuxi) Co. Ltd.,16,China,FALSE
Dongfeng Passenger Vehicle,Precision Sintered Products (Wuxi) Co. Ltd.,6,China,FALSE
Dongfeng Renault,Precision Sintered Products (Wuxi) Co. Ltd.,2,China,FALSE
FAW,Precision Sintered Products (Wuxi) Co. Ltd.,3,China,FALSE
FAW Car,Precision Sintered Products (Wuxi) Co. Ltd.,20,China,FALSE
FAW Haima,Precision Sintered Products (Wuxi) Co. Ltd.,4,China,FALSE
FAW Toyota,Precision Sintered Products (Wuxi) Co. Ltd.,15,China,FALSE
GAC Honda,Precision Sintered Products (Wuxi) Co. Ltd.,16,China,FALSE
GAC Mitsubishi,Precision Sintered Products (Wuxi) Co. Ltd.,8,China,FALSE
GAC Motor,Precision Sintered Products (Wuxi) Co. Ltd.,18,China,FALSE
GAC Toyota,Precision Sintered Products (Wuxi) Co. Ltd.,6,China,FALSE
Great Wall,Precision Sintered Products (Wuxi) Co. Ltd.,14,China,FALSE
Haima,Precision Sintered Products (Wuxi) Co. Ltd.,10,China,FALSE
Hawtai,Precision Sintered Products (Wuxi) Co. Ltd.,4,China,FALSE
JAC,Precision Sintered Products (Wuxi) Co. Ltd.,8,China,FALSE
SAIC GM Wuling,Precision Sintered Products (Wuxi) Co. Ltd.,6,China,FALSE
SAIC Volkswagen,Precision Sintered Products (Wuxi) Co. Ltd.,3,China,FALSE
South East,Precision Sintered Products (Wuxi) Co. Ltd.,6,China,FALSE
Tianjin FAW Xiali,Precision Sintered Products (Wuxi) Co. Ltd.,8,China,FALSE
Zhejiang Youngman Passenger Car,Precision Sintered Products (Wuxi) Co. Ltd.,2,China,FALSE
Shanghai GM,Pyung Hwa Industrial Co. Ltd.,1,South Korea,TRUE
Audi,Rausch & Pausch Automotive GmbH & Co. KG (RAPA Automotive),3,Germany,FALSE
Mercedes-Benz,Rausch & Pausch Automotive GmbH & Co. KG (RAPA Automotive),8,Germany,FALSE
Daimler,Rausch & Pausch Automotive GmbH & Co. KG (RAPA Automotive),7,Germany,FALSE
Porsche,Rollax GmbH & Co. KG,6,Germany,FALSE
Volkswagen,Rollax GmbH & Co. KG,2,Germany,FALSE
GM,Ryobi Die Casting (USA) Inc.,1,USA,FALSE
BYD,Schaeffler (China) Co. Ltd.,3,China,FALSE
Deepal,Schaeffler (China) Co. Ltd.,6,China,FALSE
SEAT,Schaeffler AG,1,Germany,TRUE
Volkswagen,Schaeffler AG,2,Germany,TRUE
Volvo Cars,Schaeffler AG,1,Germany,TRUE
BYD,Shanghai Baolong Automotive Corporation,2,China,FALSE
NIO,Shanghai Baolong Automotive Corporation,6,China,FALSE
Li Auto,Shanghai Baolong Automotive Corporation,1,China,FALSE
Changan Ford,Shanghai Beite Technology Co. Ltd.,4,China,FALSE
Dongfeng Honda,Shanghai Beite Technology Co. Ltd.,3,China,FALSE
FAW Toyota,Shanghai Beite Technology Co. Ltd.,4,China,FALSE
GAC Honda,Shanghai Beite Technology Co. Ltd.,8,China,FALSE
GAC Toyota,Shanghai Beite Technology Co. Ltd.,3,China,FALSE
Geely,Shanghai Beite Technology Co. Ltd.,5,China,FALSE
Dongfeng Nissan,Shanghai Beite Technology Co. Ltd.,5,China,FALSE
Dongfeng Peugeot Citroen,Shanghai Beite Technology Co. Ltd.,2,China,FALSE
Dongfeng Yueda Kia,Shanghai Beite Technology Co. Ltd.,4,China,FALSE
FAW-Volkswagen,Shanghai Beite Technology Co. Ltd.,6,China,FALSE
Fujian Benz,Shanghai Beite Technology Co. Ltd.,1,China,FALSE
Jiangling Motors,Shanghai Beite Technology Co. Ltd.,1,China,FALSE
SAIC GM,Shanghai Beite Technology Co. Ltd.,2,China,FALSE
SAIC Passenger Vehicle,Shanghai Beite Technology Co. Ltd.,2,China,FALSE
SAIC Volkswagen,Shanghai Beite Technology Co. Ltd.,7,China,FALSE
BYD,Shanghai Carthane Co. Ltd.,1,China,FALSE
FAW,Shanghai Carthane Co. Ltd.,2,China,FALSE
NIO,Shanghai Carthane Co. Ltd.,1,China,FALSE
Tesla,Shanghai Carthane Co. Ltd.,2,China,FALSE
Tesla China,Shanghai Carthane Co. Ltd.,5,China,FALSE
Xpeng,Shanghai Carthane Co. Ltd.,1,China,FALSE
Changan Ford,Shanghai Carthane Co. Ltd.,16,China,FALSE
Dongfeng Liuzhou Motor,Shanghai Carthane Co. Ltd.,6,China,FALSE
Ford,Shanghai Carthane Co. Ltd.,5,China,FALSE
BAIC (Guangzhou),Shanghai Carthane Co. Ltd.,2,China,FALSE
BAIC Yinxiang,Shanghai Carthane Co. Ltd.,1,China,FALSE
BAIC Zhenjiang,Shanghai Carthane Co. Ltd.,2,China,FALSE
Beijing Hyundai,Shanghai Carthane Co. Ltd.,1,China,FALSE
Changan,Shanghai Carthane Co. Ltd.,16,China,FALSE
Changan Suzuki,Shanghai Carthane Co. Ltd.,8,China,FALSE
Chery,Shanghai Carthane Co. Ltd.,4,China,FALSE
